Datetime, Tidal Height (m)
2014-11-16 06:14:32, 3.8982186088527553
2015-01-03 06:14:37, 1.227618989405053
2015-05-03 06:14:35, 1.9982882882882882
2015-05-15 06:14:35, 0.8875389863547758
2015-05-27 06:14:36, 3.509672922252011
2015-06-08 06:14:37, 5.937456759026029
2015-06-20 06:14:38, 4.62277037037037
2015-07-02 06:14:38, 2.5534951456310675
2015-07-14 06:14:38, 1.1432660256410256
2015-07-26 06:14:39, 3.458443864229765
2015-08-07 06:14:34, 5.354916666666667
2015-08-19 06:14:35, 4.789023275145469
2015-08-31 06:14:35, 3.6663609813084115
2015-09-12 06:14:36, 2.0133266832917704
2015-09-24 06:14:36, 2.821439153439153
2015-10-06 06:14:36, 4.210900552486187
2015-10-18 06:14:36, 4.832365853658536
2015-10-30 06:14:36, 4.139259259259259
2015-11-11 06:14:28, 2.191396666666667
2015-11-23 06:14:33, 1.4214017341040464
2015-12-05 06:14:28, 3.679220458553792
2015-12-17 06:14:32, 5.479943793911007
2015-12-29 06:14:27, 4.624984018264841
2016-01-10 06:14:31, 2.7940498812351544
2016-02-15 06:14:26, 5.922688338493292
2016-02-27 06:14:43, 4.775472553699284
2016-03-10 06:14:26, 3.5037758112094397
2016-03-22 06:14:43, 2.0740736800630417
2016-04-03 06:14:27, 2.7495885416666668
2016-04-15 06:14:44, 4.122648501362398
2016-04-27 06:14:28, 4.821466666666667
2016-05-09 06:14:45, 4.195924657534246
2016-05-21 06:14:29, 2.117588916459884
2016-06-02 06:14:37, 1.1366556195965423
2016-07-08 06:14:47, 4.966214975845411
2016-08-01 06:14:46, 1.1577906602254429
2016-08-13 06:14:49, 3.2650437017994856
2016-08-25 06:14:50, 5.48441117764471
2016-09-06 06:14:50, 4.862348295926849
2016-09-18 06:14:51, 3.577681074766356
2016-09-30 06:14:51, 2.126204938271605
2016-10-12 06:14:51, 2.6562109589041096
2016-10-18 06:14:06, 3.8752979214780603
2016-10-24 06:14:51, 4.068968319559229
2016-10-30 06:14:07, 2.2742150537634407
2016-11-05 06:14:51, 4.762339853300734
2016-11-11 06:14:06, 2.175762711864407
2016-11-17 06:14:51, 4.152137096774193
2016-11-23 06:14:07, 3.6341360259981426
2016-11-29 06:14:51, 2.3401225247524753
2016-12-05 06:14:06, 5.012532687651332
2016-12-11 06:14:50, 1.676966183574879
2016-12-17 06:14:06, 4.546333333333334
2016-12-23 06:14:50, 3.5671594982078854
2016-12-29 06:14:05, 2.6049817073170733
2017-01-04 06:14:48, 5.401692307692308
2017-01-10 06:14:04, 0.8841749271137029
2017-01-16 06:14:48, 4.862923766816143
2017-01-22 06:14:03, 3.490188131313131
2017-01-28 06:14:48, 2.945520190023753
2017-02-03 06:14:04, 5.81831693989071
2017-02-09 06:14:47, 1.368340127897682
2017-02-15 06:14:03, 5.011022988505747
2017-02-21 06:14:47, 3.3004837398373983
2017-02-27 06:14:02, 3.201157131960336
2017-03-05 06:14:47, 6.023995440729483
2017-03-11 06:14:03, 1.8244244186046512
2017-03-17 06:14:47, 4.915486312399356
2017-03-23 06:14:03, 2.9625225563909776
2017-03-29 06:14:48, 3.4100805369127514
2017-04-04 06:14:03, 4.9600937499999995
2017-04-10 06:14:48, 2.0968
2017-04-16 06:14:04, 4.796488778054863
2017-04-22 06:14:49, 2.356504166666667
2017-04-28 06:14:04, 3.765804364183597
2017-05-04 06:14:49, 3.979628205128205
2017-05-10 06:14:05, 2.211834532374101
2017-05-16 06:14:50, 4.851381802721089
2017-05-22 06:14:05, 1.8497686496694992
2017-05-28 06:14:53, 4.239923225308642
2017-06-03 06:14:06, 3.2796704545454545
2017-06-09 06:14:54, 2.299575308641975
2017-06-15 06:14:07, 5.227952078032231
2017-06-21 06:14:55, 1.2832499999999998
2017-06-27 06:14:08, 4.836405660377358
2017-07-03 06:14:55, 3.09189736346516
2017-07-09 06:14:08, 2.639804311774461
2017-07-15 06:14:56, 5.591563909774436
2017-07-21 06:14:09, 0.5452171428571422
2017-07-27 06:14:57, 5.164546428571429
2017-08-02 06:14:10, 3.1009608378870674
2017-08-08 06:14:58, 2.9914080459770114
2017-08-14 06:14:10, 5.79930174563591
2017-08-20 06:14:58, 1.2126779116465862
2017-09-01 06:14:59, 3.00435582010582
2017-09-07 06:14:11, 3.252064748201439
2017-09-13 06:14:59, 5.600763929618768
2017-09-19 06:14:12, 1.7971642512077293
2017-09-25 06:14:59, 4.93126724137931
2017-10-01 06:14:12, 2.730508108108108
2017-10-07 06:15:00, 3.4770257611241213
2017-10-13 06:14:12, 4.7655
2017-10-19 06:15:00, 2.1502439024390245
2017-10-25 06:14:12, 4.7301617647058825
2017-10-31 06:15:00, 2.472089136490251
2017-11-06 06:14:12, 3.8016194895591644
2017-11-12 06:15:00, 3.9933704735376048
2017-11-18 06:14:12, 2.3521512195121956
2017-11-24 06:14:59, 4.7611103000811035
2017-11-30 06:14:12, 2.262022662889519
2017-12-06 06:14:59, 4.200682267884322
2017-12-12 06:14:11, 3.559703755868545
2017-12-18 06:14:59, 2.5275368122977344
2017-12-24 06:14:11, 5.040042063492064
2017-12-30 06:14:58, 1.8746934097421204
2018-01-05 06:14:10, 4.667395833333333
2018-01-11 06:14:58, 3.4629004566210044
2018-01-17 06:14:10, 2.836987951807229
2018-01-23 06:14:57, 5.319041079812207
2018-01-29 06:14:09, 1.0672031250000007
2018-02-04 06:14:57, 4.989843333333333
2018-02-10 06:14:09, 3.313723650385604
2018-02-16 06:14:57, 3.049146080760095
2018-02-22 06:14:09, 5.703757869249394
2018-02-28 06:14:57, 1.4299976580796256
2018-03-06 06:14:09, 5.154466666666666
2018-03-12 06:14:57, 2.923797680412371
2018-03-18 06:14:09, 3.1588391203703705
2018-03-24 06:14:57, 6.006921828908554
2018-03-30 06:14:09, 1.7442585812356979
2018-04-05 06:14:57, 5.0706569343065695
2018-04-11 06:14:10, 2.320480769230769
2018-04-17 06:14:57, 3.3157111872146117
2018-04-23 06:14:10, 4.8781394275161585
2018-04-29 06:14:58, 2.020379416282642
2018-05-05 06:14:11, 4.936639455782313
2018-05-11 06:14:59, 1.985620868744098
2018-05-17 06:14:11, 3.693768668206313
2018-05-23 06:14:59, 3.9122662889518414
2018-05-29 06:14:12, 2.2671142857142854
2018-06-04 06:15:00, 4.985529715762273
2018-06-10 06:14:13, 1.7597376893939396
2018-06-16 06:15:01, 4.299529984423676
2018-06-22 06:14:14, 3.2349092645654247
2018-06-28 06:15:02, 2.535018018018018
2018-07-04 06:14:15, 5.270648854961832
2018-07-10 06:15:02, 1.3997124183006537
2018-07-16 06:14:15, 4.9162295081967216
2018-07-22 06:15:03, 3.0256997206703913
2018-07-28 06:14:16, 2.89783416252073
2018-08-03 06:15:04, 5.419199665831245
2018-08-09 06:14:16, 0.7355851851851849
2018-08-15 06:15:04, 5.2125974842767295
2018-08-21 06:14:17, 2.898984389348026
2018-08-27 06:15:05, 3.128372622001655
2018-09-02 06:14:18, 5.555242424242424
2018-09-08 06:15:06, 1.256954326923077
2018-09-14 06:14:18, 5.200293556085919
2018-09-20 06:15:06, 2.6207999999999996
2018-09-26 06:14:19, 3.233522598870056
2018-10-02 06:15:06, 5.622097142857143
2018-10-08 06:14:19, 1.7648677058353317
2018-10-14 06:15:07, 4.9718906376109775
2018-10-20 06:14:19, 2.298134670487106
2018-10-26 06:15:06, 3.3896886792452827
2018-11-01 06:14:19, 4.770919263456091
2018-11-07 06:15:06, 2.1223855421686744
2018-11-13 06:14:19, 4.798310920945395
2018-11-19 06:15:06, 2.2920593220338987
2018-11-25 06:14:21, 3.7542395348837205
2018-12-01 06:15:06, 4.061154727793696
2018-12-07 06:14:18, 2.415504807692308
2018-12-13 06:15:05, 4.8673510466988725
2018-12-19 06:14:18, 2.298866666666667
2018-12-25 06:15:05, 4.211941930618401
2018-12-31 06:14:17, 3.655421596244131
2019-01-06 06:14:53, 2.73788995215311
2019-01-12 06:14:17, 5.102835312747427
2019-01-18 06:15:04, 1.9225047080979283
2019-01-24 06:14:16, 4.647192052980133
